doctor_name,designation,department,qualification,experience,language,specialization,description,profile_url
Dr. Vishal Gupta,Professor and HOD,ENT,Qualification Year M .D. (University of Delhi) 2001 M.B.B.S (University of Delhi) 1994,"Experience Number of Years Professor (School of Medical Sciences & Research) 7 months Associate Professor (School of Medical Science & Research) 3 yrs 4 months Assistant Professor (School of Medical Science & Research, Sharda University) 5 yrs Consultant (Apollo Hospital) 5 yrs Senior Resident (lady Hardigne Medical College) 1.5 yrs Total Experience 16 yrs","English ,Hindi Dr. Vishal Gupta is a highly reputable Professor at Sharda Hospital. He joined Sharda University in 2008 as Assistant Professor in Department of Radiology. Later, he was promoted to Associate Professor and is now working as a full-time Professor and postgraduate teacher in the department. Dr. Gupta completed MBBS from University College of Medical Sciences (Delhi University) in 1994 and MD Radiology from Lady Hardinge Medical College (Delhi University) in 2001. Thereafter, he had a rich experience in teaching and clinical Radiology during the senior residency at LHMC, Delhi. He has many publications in national and international journals to his credit.",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-vishal-gupta
Dr. Ankit,Consultant,ENT,"M.D Anaesthesiology (Sri Aurobindo Institute of Medical Science, Indore , Madhya Pradesh , India) IDCCM( Fortis Escort Heart Institute New Delhi , India; Fellowship in Critical Care 2015-2016) MBBS-(Sri Siddhartha Medical College)",6 Years,"English ,Hindi NA",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr.-ankit
Dr. Shalini Srivastava,Professor and HOD,nan,"MBBS - BRD Medical College, Gorakhpur(2004) MD - MLM Medical College, Jhansi(2009)",15 Years,"English ,Hindi",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr.-shalini-srivastava
Dr. Mayuri Ahuja,Assistant Professor,Gynaecology,"MBBS- Subharti Medical College, Meerut (2000-2006) DGO- College of Physician and Surgeon, Mumbai (2009-2011) DNB-Kokilaben Dhirubhai Ambani Hospital and Research, Mumbai (2014-2016) MRCOG part1 (2018) MBA-Hospital Administration (2008-2010) CIMP-Certified Indian Menopausal Practioner (2019)",12 years,"English ,Hindi Obstetrician and Gynecologist with 12 years of experience . Working in the department since 2016. Involved in a lot of research activities. Presented various papers and won prizes for posters presentations at state level conferences. Dedicated to provide best care to the patients with compassion and empathy",About Obstetrician and Gynecologist with 12 years of experience . Working in the department since 2016. Involved in a lot of research activities. Presented various papers and won prizes for posters presentations at state level conferences. Dedicated to provide best care to the patients with compassion and empathy,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-mayuri-ahuja
Dr. Khemendra Kumar Senior,Consultant,ENT,MBBS MD EBIR (Europe),15+ Years,"English Dr. Khemendra Kumar is a well-known interventional radiologist and sets high personal standards for radiology. He is currently associated with Sharda Hospital, Greater Noida Uttar Pradesh. He completed his MBBS and MD - Radio Diagnosis/Radiology from Maharashtra University of Health Sciences, Nashik in 2007. He completed his senior residency in Cardiac Radiology, Endovascular Interventions, and Neuroradiology from the All India Institute of Medical Sciences (AIIMS, New Delhi). He is a certified interventional radiologist by the European Board of Interventional radiology.","About Dr. Khemendra Kumar is a well-known interventional radiologist and sets high personal standards for radiology. He is currently associated with Sharda Hospital, Greater Noida Uttar Pradesh. He completed his MBBS and MD - Radio Diagnosis/Radiology from Maharashtra University of Health Sciences, Nashik in 2007. He completed his senior residency in Cardiac Radiology, Endovascular Interventions, and Neuroradiology from the All India Institute of Medical Sciences (AIIMS, New Delhi). He is a certified interventional radiologist by the European Board of Interventional radiology.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-khemendra-kumar
Dr. Bheem Raj Gupta,Head & Senior Consultant,ENT,"MBBS, MD (Medicine), DNB (Nephrology), MNAMS, FASN",17+ Years,"English Dr. Bheem Raj Gupta is a well-known Nephrologist in Delhi-NCR. He is having a working experience of more than 15 years in the field of Nephrology and Kidney Transplants. He is having many research publications in National and International journals. His main area of interest is preventive Nephrology, Hemodialysis, intervention, critical care Nephrology, and Diabetic kidney disease.","About Dr. Bheem Raj Gupta is a well-known Nephrologist in Delhi-NCR. He is having a working experience of more than 15 years in the field of Nephrology and Kidney Transplants. He is having many research publications in National and International journals. His main area of interest is preventive Nephrology, Hemodialysis, intervention, critical care Nephrology, and Diabetic kidney disease.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-bheem-raj-gupta
Dr. Shitij Goel,HOD,Dermatology,"MBBS, MD (Dermatology)",17+ Years,"English Dr. Shitij Goel is a well-known and renowned doctor of Dermatology at Sharda Hospital. He has vast experience as a medical professional, which has provided him with a wealth of knowledge and excellent efficiency in his work. He has previously worked in a number of institutions and has teaching experience. Dr. Goel has attended numerous national and international conferences and seminars across the country.","About Dr. Shitij Goel is a well-known and renowned doctor of Dermatology at Sharda Hospital. He has vast experience as a medical professional, which has provided him with a wealth of knowledge and excellent efficiency in his work. He has previously worked in a number of institutions and has teaching experience. Dr. Goel has attended numerous national and international conferences and seminars across the country.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-shitij-goel
Dr. Showkat Nazir Wani,Consultant,nan,MBBS MD Medicine DM Neurology ECFMG,9+,"English Dr. Showkat Nazir Wani is working as a Neurologist at Sharda Hospital. Trained at a prestigious institute, he has a remarkable ability to diagnose and manage various neurological diseases. With extensive experience in delivering emergency, inpatient, and outpatient services, Dr. Wani ensures comprehensive care for all his patients.","About Dr. Showkat Nazir Wani is working as a Neurologist at Sharda Hospital. Trained at a prestigious institute, he has a remarkable ability to diagnose and manage various neurological diseases. With extensive experience in delivering emergency, inpatient, and outpatient services, Dr. Wani ensures comprehensive care for all his patients.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-showkat-nazir-wani
Dr. Nishit Palo,Associate Professor,nan,MS Orthopaedics Phd Dip. Sports Medicine Dip. Football Medicine,12+,"English Dr. Nishit Palo is a Orthopaedic Sports Medicine, Joint Replacement surgeon. He has 12 years of experience as orthopaedic. He completed MS – Orthopaedics – Utkal University, Odissa, India, 2015. MBBS – JJMMC Davangere RGUHS Bangalore, 2010. Awarded Dr SP Mandal Gold Medal by IOA in 2015. 26 Orthopaedic Research Publications. Won the SICOT CCJR Award in Muscat 2019. He is section editor of Indian Journal of Orthopaedics (IJO) infection, official publication of Indian Orthopaedics Association, AO Trauma facility & faculty for National Orthopaedics Conferences (IOACON). He specialises in Joint Replacement, Pelvis-Acetabulum & Bone Infection Surgeries.","About Dr. Nishit Palo is a Orthopaedic Sports Medicine, Joint Replacement surgeon. He has 12 years of experience as orthopaedic. He completed MS – Orthopaedics – Utkal University, Odissa, India, 2015. MBBS – JJMMC Davangere RGUHS Bangalore, 2010. Awarded Dr SP Mandal Gold Medal by IOA in 2015. 26 Orthopaedic Research Publications. Won the SICOT CCJR Award in Muscat 2019. He is section editor of Indian Journal of Orthopaedics (IJO) infection, official publication of Indian Orthopaedics Association, AO Trauma facility & faculty for National Orthopaedics Conferences (IOACON). He specialises in Joint Replacement, Pelvis-Acetabulum & Bone Infection Surgeries.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-nishit-palo
Dr. Ravindra Srivastava Senior,Consultant,nan,"MBBS MS MCH (Neuro,Brain & Spine) Certification in Parkinsons",23+,"English Dr. Ravindra Srivastava is the Senior Consultant of Neurosciences (Brain & Spine) with over 23 years of experience. A Gold Medalist, he completed his MBBS, MS and MCh from AIIMS, New Delhi, and holds several advanced certifications from esteemed institutions like the University of California and Johns Hopkins University. His specialties include Headache & Backache, Brain Tumors, Stereotactic Surgery, Brain Hemorrhage, DBS Surgery, Spise Tumors, and Trauma. Dr. Srivastava is a member of multiple prestigious societies, including the Neurological Society of India and the Neuro Spinal Surgeons Association. With over 20,000 surgeries and 50,000 international outpatient consultations, his contributions to neurosurgery are significant. Dr. Srivastava is a respected surgeon dedicated to advancing medical knowledge and providing exceptional patient care. He has worked in reputed super-speciality hospitals of New Delhi, Noida and Greater Noida like Safdarjung Hospital, Vimhans, Jaypee, GTB, Max, Fortis and Primus Superspeciality Hospital Chanakyapuri, New Delhi. He holds the honour of establishing a separate Neuro ICU in PRIMUS Hospital for international patients especially. He is a pioneer in starting Neurosurgery in Greater Noida in 2008 in all hospitals of Greater Noida.","About Dr. Ravindra Srivastava is the Senior Consultant of Neurosciences (Brain & Spine) with over 23 years of experience. A Gold Medalist, he completed his MBBS, MS and MCh from AIIMS, New Delhi, and holds several advanced certifications from esteemed institutions like the University of California and Johns Hopkins University. His specialties include Headache & Backache, Brain Tumors, Stereotactic Surgery, Brain Hemorrhage, DBS Surgery, Spise Tumors, and Trauma. Dr. Srivastava is a member of multiple prestigious societies, including the Neurological Society of India and the Neuro Spinal Surgeons Association. With over 20,000 surgeries and 50,000 international outpatient consultations, his contributions to neurosurgery are significant. Dr. Srivastava is a respected surgeon dedicated to advancing medical knowledge and providing exceptional patient care. He has worked in reputed super-speciality hospitals of New Delhi, Noida and Greater Noida like Safdarjung Hospital, Vimhans, Jaypee, GTB, Max, Fortis and Primus Superspeciality Hospital Chanakyapuri, New Delhi. He holds the honour of establishing a separate Neuro ICU in PRIMUS Hospital for international patients especially. He is a pioneer in starting Neurosurgery in Greater Noida in 2008 in all hospitals of Greater Noida.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-ravindra-srivastava
Dr. Tarun Singh,Consultant,nan,"MBBS, MS, FIAGES (General Surgery), DrNB, FMAS (Urology)",11+,"English Dr. Tarun Singh is a well-respected General Surgeon & Urologist with experience in treating patients for a variety of conditions. Certified in General Surgery & DrNB Urology & Kidney transplant. Areas of interest include Urology, Kidney transplant and Minimal Access Surgery (Endourology).","About Dr. Tarun Singh is a well-respected General Surgeon & Urologist with experience in treating patients for a variety of conditions. Certified in General Surgery & DrNB Urology & Kidney transplant. Areas of interest include Urology, Kidney transplant and Minimal Access Surgery (Endourology).","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-tarun-singh
